063 | 0040108E | 52                       | push edx                                | esp: 19FEE8-> 19FEE4                              | 0019FEE4: 0-> 24                  | edx:"%s"
064 | 0040108F | E8 3B801700              | call sample.vmp.5790CF                  | esp: 19FEE4-> 19FEE0                              | 0019FEE0: 24-> 401094             |
065 | 005790CF | 90                       | nop                                     |                                                   |                                   |
066 | 005790D0 | 55                       | push ebp                                | esp: 19FEE0-> 19FEDC                              | 0019FEDC: 401094-> 19FEFC         |
067 | 005790D1 | E9 F022E9FF              | jmp sample.vmp.40B3C6                   |                                                   |                                   |
068 | 0040B3C6 | 8B6C24 04                | mov ebp,dword ptr ss:[esp+4]            | ebp: 19FEFC-> 401094                              | 0019FEE0: 401094-> 401094         | [esp+04]:"%s"
069 | 0040B3CA | E9 460F0F00              | jmp sample.vmp.4FC315                   |                                                   |                                   |
06A | 004FC315 | 8D6D 01                  | lea ebp,dword ptr ss:[ebp+1]            | ebp: 401094-> 401095                              |                                   |
06B | 004FC318 | 896C24 04                | mov dword ptr ss:[esp+4],ebp            |                                                   | 0019FEE0: 401094-> 401095         | [esp+04]:"%s"
06C | 004FC31C | 0FCD                     | bswap ebp                               | ebp: 401095-> 95104000                            |                                   |
06D | 004FC31E | BD F0114000              | mov ebp,sample.vmp.4011F0               | ebp: 95104000-> 4011F0                            |                                   |
06E | 004FC323 | E9 530FFAFF              | jmp sample.vmp.49D27B                   |                                                   |                                   |
06F | 0049D27B | 8BAD 87700F00            | mov ebp,dword ptr ss:[ebp+F7087]        | ebp: 4011F0-> 412724BE                            | 004F8277: 412724BE-> 412724BE     |
070 | 0049D281 | 8DAD 9221E335            | lea ebp,dword ptr ss:[ebp+35E32192]     | ebp: 412724BE-> 770A4650                          |                                   |
071 | 0049D287 | E9 C4F01200              | jmp sample.vmp.5CC350                   |                                                   |                                   |
072 | 005CC350 | 872C24                   | xchg dword ptr ss:[esp],ebp             | ebp: 770A4650-> 19FEFC                            | 0019FEDC: 19FEFC-> 770A4650       | [esp]:&"\n\n"
073 | 005CC353 | E9 4C00E5FF              | jmp sample.vmp.41C3A4                   |                                                   |                                   |
074 | 0041C3A4 | C3                       | ret                                     | esp: 19FEDC-> 19FEE0                              | 0019FEDC: 770A4650-> 770A4650     |
075 | 770A4650 | 8BFF                     | mov edi,edi                             |                                                   |                                   |
076 | 770A4652 | 55                       | push ebp                                | esp: 19FEE0-> 19FEDC                              | 0019FEDC: 401095-> 19FEFC         |
077 | 770A4653 | 8BEC                     | mov ebp,esp                             | ebp: 19FEFC-> 19FEDC                              |                                   |
078 | 770A4655 | FF75 1C                  | push dword ptr ss:[ebp+1C]              | esp: 19FEDC-> 19FED8                              | 0019FEF8: 19FF28-> 19FF28 0019FED | [ebp+1C]:&"E:\\新建文件夹11\\unicorn\\Emu\\Release\\Sample.vmp.exe"
079 | 770A4658 | 8B55 14                  | mov edx,dword ptr ss:[ebp+14]           | edx: 24-> 402104                                  | 0019FEF0: 402104-> 402104         | [ebp+14]:__scrt_common_main_seh+FA
07A | 770A465B | FF75 18                  | push dword ptr ss:[ebp+18]              | esp: 19FED8-> 19FED4                              | 0019FEF4: 0-> 0 0019FED4: 19FF28- |
07B | 770A465E | 8B4D 10                  | mov ecx,dword ptr ss:[ebp+10]           | ecx: 0-> 77190328                                 | 0019FEEC: 77190328-> 77190328     |
